mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,num.trees,max.depth
130,gini,7,0.9270374818719634,0.90906974944102,0.8341836734693877,0.0010290532972535083,0.004004935478841628,0.004193755060683306,150,10
1,gini,1,0.8916234790510589,0.9125528458769846,0.6470982142857142,0.0018569890980408396,0.0030537569909922057,0.003386713787589724,150,30
1,gini,3,0.8898056421424941,0.9109959912147149,0.6444897959183673,0.0043973800318679295,0.005964228918095048,0.005685703875829223,150,30
1,gini,5,0.8876026690689653,0.9108027814696198,0.6425446428571429,0.002936156402765696,0.005255457559701161,0.003293512703482217,150,30
1,gini,7,0.8878592297991447,0.9128596992498397,0.6422895408163265,0.0039670004444498355,0.0038616707788766097,0.006706761342994903,150,30
5,gini,1,0.9352104063814186,0.9239170320496113,0.8229081632653061,0.0018591731434838227,0.0037066650146614496,0.004533144692490052,150,30
5,gini,3,0.9350485108107899,0.9230533516172392,0.8218941326530612,0.0019028652731304838,0.00390757281978169,0.004539813005412745,150,30
5,gini,5,0.9352133755204769,0.9238829161190731,0.822468112244898,0.0015773404637713711,0.002838246554455284,0.004293648037164307,150,30
5,gini,7,0.9347959002487535,0.9248943591768953,0.817359693877551,0.0018417240285400686,0.00605151836768666,0.0071471123212810276,150,30
10,gini,1,0.9382710564192995,0.9129847205582722,0.8486288265306122,0.0010011603461930133,0.004640880969897756,0.0019133981671556049,150,30
10,gini,3,0.9384192292754587,0.9125812837022181,0.8491390306122449,8.954402686419534e-4,0.003487186472137671,0.0012995971857343647,150,30
10,gini,5,0.9382135151066642,0.9127346882728663,0.8480293367346938,7.655620096166381e-4,0.003230545282848167,0.0015104499528375637,150,30
10,gini,7,0.9379912673144171,0.9118141966002168,0.8483673469387755,6.80050077729898e-4,0.0028795193137675585,0.0011777767276083212,150,30
30,gini,1,0.9383897913765589,0.9142233890442893,0.8502614795918367,7.573269250346104e-4,0.002309420990500383,0.0012383785307248586,150,30
30,gini,3,0.938115835310748,0.913058562078737,0.8504209183673469,6.661243479434467e-4,0.0020809511767693727,0.0010064616115535853,150,30
30,gini,5,0.9383494361230797,0.9136494963516236,0.8502423469387755,6.621433197199589e-4,0.001610907170053292,0.0010140606945865007,150,30
